[2025-Nov-03 22:03:12.819820] <info>: (UserMentionService.cpp:75:main) Starting the user-mention-service server...
[2025-Nov-03 22:05:04.002544] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=644931833795737216, usernames count=0]
[2025-Nov-03 22:08:00.977447] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=390769173123907392, total user_mentions count=0]
[2025-Nov-03 22:08:00.977522] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=390769173123907392, return count=0]
[2025-Nov-03 22:08:06.324558] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=875997939954224000, usernames count=0]
[2025-Nov-03 22:08:06.324698] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=875997939954224000, total user_mentions count=0]
[2025-Nov-03 22:08:06.324729] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=875997939954224000, return count=0]
[2025-Nov-03 22:08:11.682206] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=569795423556875584, usernames count=0]
[2025-Nov-03 22:08:11.682477] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=569795423556875584, total user_mentions count=0]
[2025-Nov-03 22:08:11.682557] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=569795423556875584, return count=0]
[2025-Nov-03 22:08:17.039324] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=223935745251763520, usernames count=0]
[2025-Nov-03 22:08:17.039502] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=223935745251763520, total user_mentions count=0]
[2025-Nov-03 22:08:17.039552] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=223935745251763520, return count=0]
[2025-Nov-03 22:08:22.417443] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=1092221423012405248, usernames count=0]
[2025-Nov-03 22:08:22.417634] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=1092221423012405248, total user_mentions count=0]
[2025-Nov-03 22:08:22.417697] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=1092221423012405248, return count=0]
[2025-Nov-03 22:08:27.792821] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=262032661442578080, usernames count=0]
[2025-Nov-03 22:08:27.792963] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=262032661442578080, total user_mentions count=0]
[2025-Nov-03 22:08:27.792996] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=262032661442578080, return count=0]
[2025-Nov-03 22:08:33.150058] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=580364974433750528, usernames count=0]
[2025-Nov-03 22:08:33.150199] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=580364974433750528, total user_mentions count=0]
[2025-Nov-03 22:08:33.150231] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=580364974433750528, return count=0]
[2025-Nov-03 22:08:38.501442] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=99994089183751120, usernames count=0]
[2025-Nov-03 22:08:38.501784] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=99994089183751120, total user_mentions count=0]
[2025-Nov-03 22:08:38.501929] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=99994089183751120, return count=0]
[2025-Nov-03 22:08:43.849081] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=64807224966246264, usernames count=0]
[2025-Nov-03 22:08:43.849227] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=64807224966246264, total user_mentions count=0]
[2025-Nov-03 22:08:43.849265] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=64807224966246264, return count=0]
[2025-Nov-03 22:08:49.205047] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=168867486102233056, usernames count=0]
[2025-Nov-03 22:08:49.205201] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=168867486102233056, total user_mentions count=0]
[2025-Nov-03 22:08:49.205237] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=168867486102233056, return count=0]
[2025-Nov-03 22:08:54.555845] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=121802597341952208, usernames count=0]
[2025-Nov-03 22:08:54.555979] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=121802597341952208, total user_mentions count=0]
[2025-Nov-03 22:08:54.556034] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=121802597341952208, return count=0]
[2025-Nov-03 22:08:59.923837] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=620717785178272896, usernames count=0]
[2025-Nov-03 22:08:59.923983] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=620717785178272896, total user_mentions count=0]
[2025-Nov-03 22:08:59.924018] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=620717785178272896, return count=0]
[2025-Nov-03 22:09:05.291866] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=565144768764424320, usernames count=0]
[2025-Nov-03 22:09:05.292015] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=565144768764424320, total user_mentions count=0]
[2025-Nov-03 22:09:05.292046] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=565144768764424320, return count=0]
[2025-Nov-03 22:09:10.641117] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=131507722544528128, usernames count=0]
[2025-Nov-03 22:09:10.641295] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=131507722544528128, total user_mentions count=0]
[2025-Nov-03 22:09:10.641336] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=131507722544528128, return count=0]
[2025-Nov-03 22:09:15.995255] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=201472790262871520, usernames count=0]
[2025-Nov-03 22:09:15.995560] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=201472790262871520, total user_mentions count=0]
[2025-Nov-03 22:09:15.995714] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=201472790262871520, return count=0]
[2025-Nov-03 22:09:21.353742] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=243475649571637152, usernames count=0]
[2025-Nov-03 22:09:21.353977] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=243475649571637152, total user_mentions count=0]
[2025-Nov-03 22:09:21.354089] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=243475649571637152, return count=0]
[2025-Nov-03 22:09:26.705599] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=985605384351010048, usernames count=0]
[2025-Nov-03 22:09:26.705730] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=985605384351010048, total user_mentions count=0]
[2025-Nov-03 22:09:26.705781] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=985605384351010048, return count=0]
[2025-Nov-03 22:09:32.069019] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=984622788556450048, usernames count=0]
[2025-Nov-03 22:09:32.069161] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=984622788556450048, total user_mentions count=0]
[2025-Nov-03 22:09:32.069227] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=984622788556450048, return count=0]
[2025-Nov-03 22:09:37.414210] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=516272438311794304, usernames count=0]
[2025-Nov-03 22:09:37.414356] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=516272438311794304, total user_mentions count=0]
[2025-Nov-03 22:09:37.414387] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=516272438311794304, return count=0]
[2025-Nov-03 22:09:42.765202] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=44512118436707664, usernames count=0]
[2025-Nov-03 22:09:42.765402] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=44512118436707664, total user_mentions count=0]
[2025-Nov-03 22:09:42.765468] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=44512118436707664, return count=0]
[2025-Nov-03 22:09:48.115526] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=215668247605288416, usernames count=0]
[2025-Nov-03 22:09:48.115655] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=215668247605288416, total user_mentions count=0]
[2025-Nov-03 22:09:48.115685] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=215668247605288416, return count=0]
[2025-Nov-03 22:09:53.456980] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=618528023962339328, usernames count=0]
[2025-Nov-03 22:09:53.457183] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=618528023962339328, total user_mentions count=0]
[2025-Nov-03 22:09:53.457244] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=618528023962339328, return count=0]
[2025-Nov-03 22:09:58.811480] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=41544175559285136, usernames count=0]
[2025-Nov-03 22:09:58.811841] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=41544175559285136, total user_mentions count=0]
[2025-Nov-03 22:09:58.812139] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=41544175559285136, return count=0]
[2025-Nov-03 22:10:04.185321] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=546467732712613952, usernames count=0]
[2025-Nov-03 22:10:04.185477] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=546467732712613952, total user_mentions count=0]
[2025-Nov-03 22:10:04.185509] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=546467732712613952, return count=0]
